drug_name,drug_generic_name,mode_administration,description,Date of Approval,Company,Treatment for,drug_type,disease_type,,,
Avzivi,bevacizumab-tnjn,Injection,"Avzivi is a vascular endothelial growth factor inhibitor biosimilar to Avastin used for the treatment of colorectal cancer, non-small cell lung cancer, glioblastoma, renal cell carcinoma, cervical cancer, and epithelial ovarian, fallopian tube, or primary peritoneal cancer.",2023-12-06,Bio-Thera Solutions,"Colorectal Cancer, Non-Small Cell Lung Cancer, Glioblastoma Multiforme, Renal Cell Carcinoma, Cervical Cancer, Ovarian Cancer, Fallopian Tube Cancer, Peritoneal Cancer",Antineoplastics,Cancers,,,
Fabhalta,iptacopan,Capsules,"Fabhalta (iptacopan) is a first-in-class, complement factor B inhibitor indicated for the treatment of adults with paroxysmal nocturnal hemoglobinuria.",2023-12-05,Novartis,Paroxysmal Nocturnal Hemoglobinuria,Immunological,Hematological Disorders,,,
Ogsiveo,nirogacestat,Tablets,Ogsiveo (nirogacestat) is a gamma secretase inhibitor indicated for adult patients with progressing desmoid tumors who require systemic treatment.,2023-11-27,Springworks Therapeutics,Desmoid Tumors,Antineoplastics,Cancers,,,
Ryzneuta,efbemalenograstim alfa-vuxw,Injection,Ryzneuta (efbemalenograstim alfa-vuxw) is a leukocyte growth factor to used to reduce the duration of febrile neutropenia in patients treated with chemotherapy for certain types of cancer.,2023-11-16,Evive Biotech,Neutropenia Associated with Chemotherapy,Antineoplastics,Hematological Disorders,,,
Truqap,capivasertib,Tablets,Truqap (capivasertib) is an AKT inhibitor used in combination with fulvestrant for the treatment of advanced hormone receptor-positive breast cancer.,2023-11-16,Astrazeneca,Breast Cancer,Antineoplastics,Cancers,,,
Augtyro,repotrectinib,Capsules,Augtyro (repotrectinib) is a tyrosine kinase inhibitor (TKI) for the treatment of patients with ROS1-positive locally advanced or metastatic non-small cell lung cancer (NSCLC).,2023-11-15,Bristol Myers Squibb,Non-Small Cell Lung Cancer,Antineoplastics,Cancers,,,
DefenCath,taurolidine and heparin,Catheter Lock Solution,DefenCath (taurolidine and heparin) catheter lock solution is a thiadiazinane antimicrobial and anticoagulant combination indicated to reduce the incidence of catheter-related bloodstream infections in adult patients with kidney failure receiving chronic hemodialysis (HD) through a central venous catheter (CVC).,2023-11-15,Cormedix,Prevention of Catheter-Related Bloodstream Infections,Antibiotics,Infectious Diseases,,,
Ixchiq,"chikungunya vaccine, live",Injection,"Ixchiq (chikungunya vaccine, live) is a live-attenuated, single dose vaccine indicated for the prevention of disease caused by chikungunya virus (CHIKV) in individuals 18 years of age and older who are at increased risk of exposure to CHIKV.",2023-11-09,Valneva Se,Chikungunya Disease Prevention,Vaccines,Infectious Diseases,,,
Adzynma,"ADAMTS13, recombinant-krhn",Lyophilized Powder for Injection,"Adzynma (ADAMTS13, recombinant-krhn) is a human recombinant “A disintegrin and metalloproteinase with thrombospondin motifs 13” (rADAMTS13) indicated for prophylactic or on demand enzyme replacement therapy (ERT) in adult and pediatric patients with congenital thrombotic thrombocytopenic purpura.",2023-11-09,Takeda,Thrombotic Thrombocytopenic Purpura,Immunological,Hematological Disorders,,,
Fruzaqla,fruquintinib,Capsules,"Fruzaqla (fruquintinib) is a highly selective and potent oral inhibitor of VEGFR-1, -2 and -3 for the treatment of previously treated metastatic colorectal cancer.",2023-11-08,Takeda,Colorectal Cancer,Antineoplastics,Cancers,,,
Zepbound,tirzepatide,Injection,Zepbound (tirzepatide) is a glucose-dependent insulinotropic polypeptide (GIP) receptor and glucagon-like peptide-1 (GLP-1) receptor agonist used for chronic weight management in adults.,2023-11-08,Eli Lilly,Weight Loss (Obesity/Overweight),Antidiabetics,Nutritional Disorders,,,
Zituvimet,metformin hydrochloride and sitagliptin,Tablets,Zituvimet (metformin hydrochloride and sitagliptin) is a biguanide and dipeptidyl peptidase-4 (DPP-4) inhibitor combination indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.,2023-11-03,Zydus Pharmaceuticals,"Diabetes, Type 2",Antidiabetics,Endocrine Disorders,,,
Voquezna,vonoprazan,Tablets,Voquezna (vonoprazan) is a potassium-competitive acid blocker (P-CAB) for the treatment of erosive esophagitis.,2023-11-01,Phathom Pharmaceuticals,Erosive Esophagitis,Gastrointestinal,Gastrointestinal Diseases,,,
Wezlana,ustekinumab-auub,Injection,"Wezlana (ustekinumab-auub) is a human interleukin-12 and -23 antagonist interchangeable biosimilar to Stelara used for the treatment of plaque psoriasis, psoriatic arthritis, Crohn’s disease, and ulcerative colitis.",2023-10-31,Amgen,"Plaque Psoriasis, Psoriatic Arthritis, Crohn's Disease, Ulcerative Colitis",Immunological,Gastrointestinal Diseases,,,
Loqtorzi,toripalimab-tpzi,Injection,Loqtorzi (toripalimab-tpzi) is a programmed death receptor-1 (PD-1)- blocking antibody used for the treatment of nasopharyngeal carcinoma.,2023-10-27,Coherus Biosciences,Nasopharyngeal Carcinoma,Antineoplastics,Cancers,,,
Omvoh,mirikizumab-mrkz,Injection,Omvoh (mirikizumab-mrkz) is an interleukin-23 antagonist indicated for the treatment of moderately to severely active ulcerative colitis in adults.,2023-10-26,Eli Lilly,Ulcerative Colitis,Immunological,Gastrointestinal Diseases,,,
Agamree,vamorolone,Oral Suspension,Agamree (vamorolone) is a corticosteroid indicated for the treatment of Duchenne muscular dystrophy in patients 2 years of age and older.,2023-10-26,Catalyst Pharmaceuticals,Duchenne Muscular Dystrophy,Anti-inflammatories,Musculoskeletal Disorders,,,
Zymfentra,infliximab-dyyb,Subcutaneous Injection,Zymfentra (infliximab-dyyb) is a tumor necrosis factor (TNF) blocker used for the maintenance treatment of ulcerative colitis and Crohn’s disease in adults.,2023-10-20,Celltrion,"Crohn's Disease, Ulcerative Colitis",Immunological,Gastrointestinal Diseases,,,
Cabtreo,"adapalene, benzoyl peroxide and clindamycin phosphate",Topical Gel,"Cabtreo (adapalene, benzoyl peroxide and clindamycin phosphate) is a triple-combination for the topical treatment of acne vulgaris in adult and pediatric patients 12 years of age and older.",2023-10-20,Bausch Health Companies,Acne,Dermatological,Dermatological Conditions,,,
Zituvio,sitagliptin,Tablets,Zituvio (sitagliptin) is a dipeptidyl peptidase-4 (DPP-4) inhibitor indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.,2023-10-18,Zydus Pharmaceuticals,"Diabetes, Type 2",Antidiabetics,Endocrine Disorders,,,
Penbraya,"meningococcal groups A, B, C, W, and Y vaccine",Injection,"Penbraya (meningococcal groups A, B, C, W, and Y vaccine) is indicated for active immunization to prevent invasive disease caused by Neisseria meningitidis serogroups A, B, C, W, and Y in individuals 10 through 25 years of age.",2023-10-20,Pfizer,Meningococcal Disease Prophylaxis,Vaccines,Infectious Diseases,,,
Bimzelx,bimekizumab-bkzx,Injection,Bimzelx (bimekizumab-bkzx) is a humanized interleukin-17A and interleukin-17F antagonist for the treatment of moderate to severe plaque psoriasis in adults who are candidates for systemic therapy or phototherapy.,2023-10-17,Ucb,Plaque Psoriasis,Immunological,Dermatological Conditions,,,
Combogesic IV,acetaminophen and ibuprofen,Injection,Combogesic IV (acetaminophen and ibuprofen) is an analgesic and nonsteroidal anti-inflammatory drug (NSAID) combination for the management of postoperative pain.,2023-10-17,Aft Pharmaceuticals,Postoperative Pain,Analgesics,Musculoskeletal Disorders,,,
Qlosi,pilocarpine hydrochloride,Ophthalmic Solution,"Qlosi (pilocarpine hydrochloride ophthalmic solution) 0.4%, is a low dose formulation of the approved cholinergic agonist pilocarpine indicated for the treatment of presbyopia in
adults.",2023-10-17,Orasis Pharmaceuticals,Presbyopia,Ophthalmological,Ophthalmological Disorders,,,
Xphozah,tenapanor,Tablets,Xphozah (tenapanor) is a sodium hydrogen exchanger 3 (NHE3) inhibitor used to treat hyperphosphatemia in adults with chronic kidney disease.,2023-10-17,Ardelyx,Hyperphosphatemia of Renal Failure,Gastrointestinal,Renal Disorders,,,
Zilbrysq,zilucoplan,Injection,Zilbrysq (zilucoplan) is a peptide inhibitor of complement component 5 (C5 inhibitor) for the treatment of generalized myasthenia gravis in adult patients who are anti-acetylcholine receptor (AChR) antibody positive.,2023-10-17,Ucb,Immunological,Other,,,,
Velsipity,etrasimod,Tablets,Velsipity (etrasimod) is a sphingosine-1-phosphate (S1P) receptor modulator indicated for the treatment of moderately-to-severely active ulcerative colitis (UC) in adults.,2023-10-12,Pfizer,Ulcerative Colitis,Gastrointestinal,Gastrointestinal Diseases,,,
Technegas ,technetium Tc 99m carbon,Inhalation Aerosol,Technegas (technetium Tc 99m carbon) is a radioactive diagnostic agent for the evaluation of pulmonary embolism.,2023-09-29,Cyclopharm,Diagnosis and Investigation,Respiratory,Respiratory Diseases,,,
Rivfloza,nedosiran,Injection,Rivfloza (nedosiran) is a lactate dehydrogenase A (LDHA) directed small interfering RNA used to lower urinary oxalate levels in patients with primary hyperoxaluria type 1 (PH1).,2023-09-29,Novo Nordisk,Primary Hyperoxaluria,Antineoplastics,Renal Disorders,,,
Tofidence,tocilizumab-bavi,Injection,"Tofidence (tocilizumab-bavi) is an interleukin-6 (IL-6) receptor antagonist biosimilar to Actemra indicated for treatment of moderately to severely active rheumatoid arthritis, polyarticular juvenile idiopathic arthritis and systemic juvenile idiopathic arthritis.",2023-09-29,Biogen,"Rheumatoid Arthritis, Polyarticular Juvenile Idiopathic Arthritis, Juvenile Idiopathic Arthritis",Immunological,Musculoskeletal Disorders,,,
Exxua,gepirone,Extended-Release Tablets,Exxua (gepirone) is an azapirone antidepressant for the treatment of adults with major depressive disorder.,2023-09-22,Fabre-Kramer Pharmaceuticals,Major Depressive Disorder,Antidepressants,Mental Health Disorders,,,
Pombiliti,cipaglucosidase alfa-atga,Lyophilized Powder for Injection,Pombiliti (cipaglucosidase alfa-atga) is a hydrolytic lysosomal glycogen-specific enzyme used in combination with Opfolda (miglustat) for the treatment of adults with late-onset Pompe disease.,2023-09-28,Amicus Therapeutics,Pompe Disease,Enzyme Replacement Therapy,Genetic Disorders,,,
Ryzumvi,phentolamine mesylate,Ophthalmic Solution,Ryzumvi (phentolamine mesylate) is an alpha adrenergic blocker indicated for the treatment of pharmacologically-induced mydriasis.,2023-09-25,Ocuphire,Reversal of Pharmacologically Induced Mydriasis,Ophthalmological,Ophthalmological Disorders,,,
Likmez,metronidazole,Oral Suspension,"Likmez (metronidazole) is an oral liquid suspension formulation of the approved nitroimidazole antimicrobial metronidazole for the treatment of trichomoniasis, amebiasis, and anaerobic bacterial infections.",2023-09-22,Appili Therapeutics  And Saptalis Pharmaceuticals,"Bacterial Infection, Trichomoniasis, Amebiasis",Antibiotics,Infectious Diseases,,,
Ojjaara,momelotinib,Tablets,Ojjaara (momelotinib) is a JAK1/JAK2 and activin A receptor type 1 (ACVR1) inhibitor for the treatment of myelofibrosis patients with anemia.,2023-09-15,Gsk,Myelofibrosis,Antineoplastics,Hematological Disorders,,,
Aphexda,motixafortide,Lyophilized Powder for Injection,Aphexda (motixafortide) is a hematopoietic stem cell mobilizer indicated in combination with filgrastim (G-CSF) to mobilize hematopoietic stem cells to the peripheral blood for collection and subsequent autologous transplantation in patients with multiple myeloma.,2023-09-08,Biolinerx,Hematopoietic Stem Cell Mobilization,Antineoplastics,Hematological Disorders,,,
Tyruko,natalizumab-sztn,Injection,"Tyruko (natalizumab-sztn) is an integrin receptor antagonist biosimilar to Tysabri, approved for the treatment of multiple sclerosis and Crohn’s disease.",2023-08-24,Sandoz,"Multiple Sclerosis, Crohn's Disease",Immunological,Autoimmune Diseases,,,
Eylea HD,aflibercept,Injection,"Eylea HD (aflibercept) is a higher dose formulation of the approved vascular endothelial growth factor (VEGF) inhibitor aflibercept indicated for the treatment of patients with neovascular (wet) age-related macular degeneration (nAMD), diabetic macular edema (DME), and diabetic retinopathy (DR).",2023-08-18,Regeneron Pharmaceuticals,"Macular Degeneration, Diabetic Macular Edema, Diabetic Retinopathy",Ophthalmological,Ophthalmological Disorders,,,
Veopoz,pozelimab-bbfg,Injection,Veopoz (pozelimab-bbfg) is a complement C5 inhibitor indicated for the treatment of adult and pediatric patients 1 year of age and older with CHAPLE disease.,2023-08-18,Regeneron Pharmaceuticals,CHAPLE Disease,Immunological,Gastrointestinal Diseases,,,
Sohonos,palovarotene,Capsules,Sohonos (palovarotene) is a retinoid indicated for the reduction in volume of new heterotopic ossification in adults and pediatric patients aged 8 years and older for females and 10 years and older for males with fibrodysplasia ossificans progressiva (FOP).,2023-08-16,Ipsen,Fibrodysplasia Ossificans Progressiva,Anti-inflammatories,Musculoskeletal Disorders,,,
Elrexfio,elranatamab-bcmm,Injection,Elrexfio (elranatamab-bcmm) is a B-cell maturation antigen (BCMA) CD3-targeted bispecific antibody (BsAb) for the treatment of patients with relapsed or refractory multiple myeloma.,2023-08-14,Pfizer,Multiple Myeloma,Antineoplastics,Hematological Disorders,,,
Hepzato,melphalan,Lyophilized Powder for Injection,Hepzato (melphalan) is an alkylating drug used as a liver-directed treatment for adult patients with uveal melanoma with unresectable hepatic metastases.,2023-08-14,Delcath Systems,Uveal Melanoma,Antineoplastics,Cancers,,,
Akeega,abiraterone acetate and niraparib,Tablets,Akeega (abiraterone acetate and niraparib) is a CYP17 inhibitor and a poly (ADP-ribose) polymerase (PARP) inhibitor combination indicated with prednisone for the treatment of adult patients with deleterious or suspected deleterious BRCA-mutated (BRCAm) metastatic castration-resistant prostate cancer (mCRPC).,2023-08-11,Janssen Pharmaceuticals,Prostate Cancer,Antineoplastics,Cancers,,,
Talvey,talquetamab-tgvs,Injection,"Talvey (talquetamab-tgvs) is a first-in-class, bispecific GPRC5D-directed CD3 T-cell engager for the treatment of patients with heavily pretreated multiple myeloma.",2023-08-09,Janssen Pharmaceutical Companies Of Johnson & Johnson,Multiple Myeloma,Antineoplastics,Hematological Disorders,,,
Izervay,avacincaptad pegol,Intravitreal Solution,Izervay (avacincaptad pegol) is a complement C5 protein inhibitor indicated for the treatment of geographic atrophy (GA) secondary to age-related macular degeneration (AMD).,2023-08-04,Iveric Bio,Geographic Atrophy,Ophthalmological,Ophthalmological Disorders,,,
Zurzuvae,zuranolone,Capsules,Zurzuvae (zuranolone) is a neuroactive steroid gamma-aminobutyric acid (GABA) A receptor positive modulator indicated for the treatment of postpartum depression in adults.,2023-08-04,Sage Therapeutics,Postpartum Depression,Neurological,Mental Health Disorders,,,
RiVive,naloxone hydrochloride,Nasal Spray,RiVive (naloxone hydrochloride) is an over-the-counter (OTC) opioid antagonist nasal spray indicated for the emergency treatment of opioid overdose.,2023-07-28,Harm Reduction Therapeutics,Opioid Overdose,Respiratory,Neurological Disorders,,,
Balfaxar,"prothrombin complex concentrate, human-lans",Lyophilized Powder for Injection,"Balfaxar (prothrombin complex concentrate, human-lans) is a blood coagulation factor replacement product indicated for the urgent reversal of acquired coagulation factor deficiency induced by Vitamin K antagonist (VKA, e.g., warfarin) therapy in adult patients with need for an urgent surgery/invasive procedure.",2023-07-21,Octapharma,Warfarin Reversal in Urgent Surgery & Invasive Procedures,Cardiovascular,Cardiovascular Diseases,,,
Xdemvy,lotilaner,Ophthalmic Solution,Xdemvy (lotilaner ophthalmic solution) is an isoxazoline ectoparasiticide indicated for the treatment of Demodex blepharitis.,2023-07-25,Tarsus Pharmaceuticals,Demodex Blepharitis,Ophthalmological,Dermatological Conditions,,,
Ycanth,cantharidin,Topical Solution,Ycanth (cantharidin) is a topical terpenoid for the treatment of molluscum contagiosum in adult and pediatric patients 2 years of age and older.,2023-07-21,Verrica Pharmaceuticals,Molluscum Contagiosum,Dermatological,Dermatological Conditions,,,
Vanflyta,quizartinib,Tablets,Vanflyta (quizartinib) is an oral FLT3-ITD (FMS-like tyrosine kinase-3-internal tandem duplication) inhibitor for the treatment of patients with FLT3-ITD positive acute myeloid leukemia.,2023-07-20,Daiichi Sankyo,Acute Myeloid Leukemia,Antineoplastics,Hematological Disorders,,,
Cyfendus,"anthrax vaccine adsorbed, adjuvanted",Injection,"Cyfendus (anthrax vaccine adsorbed, adjuvanted) is a vaccine indicated for post-exposure prophylaxis of disease following suspected or confirmed exposure to Bacillus anthracis in persons 18 through 65 years of age when administered in conjunction with recommended antibacterial drugs.",2023-07-20,Emergent Biosolutions,Anthrax Prophylaxis,Vaccines,Infectious Diseases,,,
Beyfortus,nirsevimab-alip,Injection,Beyfortus (nirsevimab-alip) is a respiratory syncytial virus (RSV) F protein-directed fusion inhibitor used for the prevention of RSV lower respiratory tract disease in neonates and infants.,2023-07-17,Astrazeneca,RSV,Antivirals,Respiratory Diseases,,,
Opill,norgestrel,Tablets,"Opill (norgestrel) is a progestin-only, over-the-counter birth control pill for the prevention of pregnancy.",2023-07-13,Perrigo Company,Birth Control,Hormonal,Reproductive System Disorders,,,
Roctavian,valoctocogene roxaparvovec-rvox,Suspension for Intravenous Infusion,Roctavian (valoctocogene-roxaparvovec-rvox) is an adeno-associated virus vector-based gene therapy for the treatment of adults with severe hemophilia A.,2023-06-29,Biomarin Pharmaceutical,Hemophilia A,Immunological,Hematological Disorders,,,
Lantidra,donislecel-jujn,Cellular Suspension for Infusion,Lantidra (donislecel-jujn) is an allogeneic pancreatic islet cellular therapy for the treatment of type 1 diabetes mellitus in adults whose symptoms are not well controlled.,2023-06-28,Celltrans,"Diabetes, Type 1",Antidiabetics,Endocrine Disorders,,,
Ngenla,somatrogon-ghla,Injection,Ngenla (somatrogon-ghla) is a long-acting human growth hormone analog used for the treatment of pediatric growth hormone deficiency.,2023-06-27,Pfizer,Pediatric Growth Hormone Deficiency,Hormonal,Endocrine Disorders,,,
